time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-08-28 10:40:55.870 UTC, ,125,3162229,1520,16376, , ,3, ,32,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,32,12, , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , ,2,94, , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,117504,33, , , , , , ,2,167,10,128,497029408, , , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-08-28 10:41:55.874 UTC, ,125,3175701,1904,29176,672, ,6, ,27,3,0.11, , , , , , , ,6,6, , , ,2,4,6, ,12,9, , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , ,15,47,1,48,1,3,1, , ,3,4, , , ,15,1, , , , , , ,18757,18,200,1, , , , , , , , ,510602832, , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,13,1, , , , , , , 
2019-08-28 10:42:55.880 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,1, ,3, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:43:55.884 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,31, ,38, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:44:55.890 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,1, ,1, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:45:55.895 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,1, ,2, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:46:55.898 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,24, ,25, , , , , ,3,2, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:47:55.900 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,203, ,251, , , , , ,3,4, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:48:55.904 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,31, ,31, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-08-28 10:49:55.910 UTC, ,125,3175701,1904,29176,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855844, , , , ,3145728, , , , ,35, ,36, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,510602832, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
